month,Record high (°C),Mean maximum (°C),Average high (°C),Average low (°C),Mean minimum (°C),Record low (°C),Average precipitation (mm),Average snowfall (cm),Average precipitation (≥ 0.01 in),Average snowy (≥ 0.1 in),Average relative humidity (%),Mean monthly sunshine hours,Percent possible sunshine
Jan,14,6.2,-4.6,-13.6,-26,-41,22.9,31,8.9,8.4,69.9,156.7,55
Feb,18,8.5,-1.7,-10.7,-23,-36,19.6,19.6,7.4,6.8,69.5,178.3,61
Mar,28,18.8,5.2,-4.3,-15.8,-36,48,26.2,9.3,5.4,67.4,217.5,59
Apr,35,26.7,14.3,2.9,-5.8,-17,67.6,6.1,10.7,2,60.3,242.1,60
May,41,31.1,20.8,9.4,1.6,-8,85.3,0,11.5,0.1,60.4,295.2,64
Jun,40,34.1,26,14.9,7.2,1,108,0,11.3,0,63.8,321.9,69
Jul,42,34.9,28.6,17.8,11.8,6,102.6,0,10.2,0,64.8,350.5,74
Aug,39,33.6,26.9,16.6,10.4,4,109.2,0,9.7,0,67.9,307.2,71
Sep,40,31.1,22.1,11.3,2.4,-3,78.2,0,9.8,0,70.7,233.2,62
Oct,32,26.2,14.4,4.3,-3.7,-12,61.7,1.5,9.2,0.6,68.3,181,53
Nov,25,16.4,5.1,-3.2,-13.6,-32,45,23.6,8.7,5.2,72.6,112.8,39
Dec,20,7.5,-2.7,-10.9,-23,-39,29.5,30.2,9.8,9.3,74.1,114.3,42
