month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average rainfall (mm),Average rainy (days),Average relative humidity (%),Mean monthly sunshine hours
Jan,40.9,30.2,26.3,23.3,17.7,137.1,11,79,211.9
Feb,41.8,30.2,26.6,23.5,18.9,130.4,7,79,201.3
Mar,41,29.4,26,23.3,18.6,135.8,8,80,206.4
Apr,39.3,27.8,24.4,21.9,16.2,94.9,9,80,181
May,36.3,26.4,22.8,20.4,11.1,69.8,6,80,186.3
Jun,35.9,25.2,21.8,18.7,11.6,42.7,6,79,175.1
Jul,34.9,25,21.3,18.4,12.2,41.9,4,77,188.6
Aug,38.9,25.5,21.8,18.9,10.6,44.5,5,77,184.8
Sep,40.6,25.4,22.2,19.2,10.2,53.6,7,79,146.2
Oct,42.8,26,22.9,20.2,10.1,86.5,9,80,152.1
Nov,40.5,27.4,24,21.4,15.1,97.8,10,79,168.5
Dec,43.2,28.6,25.3,22.4,17.1,134.2,11,80,179.6
